date,exchange rate,GDP,Inflation,Export,Import,GrossExtDebt,Interest Trend,GDP in $
2014-02-04,7.992999999999999,373978.9555555555,0.2642857142857143,160312.97777777776,189115.13333333333,140303.44444444444,54.642857142857146,46788.309215007575
2014-02-05,7.992999999999999,372959.77777777775,0.28571428571428575,160159.38888888888,188646.16666666666,140251.22222222222,54.857142857142854,46660.80042259199
2014-02-06,7.992999999999999,371940.6,0.30714285714285716,160005.8,188177.2,140199.0,55.07142857142857,46533.291630176405
2014-02-07,8.708,370921.4222222222,0.3285714285714286,159852.2111111111,187708.23333333334,140146.77777777778,55.285714285714285,42595.47797682846
2014-02-08,8.708,369902.2444444444,0.35000000000000003,159698.6222222222,187239.26666666666,140094.55555555556,55.5,42478.43872811718
2014-02-09,8.708,368883.06666666665,0.37142857142857144,159545.03333333333,186770.3,140042.33333333334,55.714285714285715,42361.39947940591
2014-02-10,8.5282,367863.8888888889,0.3928571428571429,159391.44444444444,186301.33333333334,139990.11111111112,55.92857142857143,43134.99787632664
2014-02-11,8.5532,366844.7111111111,0.41428571428571437,159237.85555555555,185832.36666666667,139937.88888888888,56.142857142857146,42889.76185651114
2014-02-12,8.5507,365825.5333333333,0.4357142857142858,159084.26666666666,185363.4,139885.66666666666,56.357142857142854,42783.10937506091
2014-02-13,8.5507,364806.35555555555,0.4571428571428572,158930.67777777778,184894.43333333335,139833.44444444444,56.57142857142857,42663.91705422428
2014-02-14,8.6309,363787.1777777778,0.47857142857142865,158777.0888888889,184425.46666666667,139781.22222222222,56.785714285714285,42149.39088365962
2014-02-15,8.6309,362768.0,0.5,158623.5,183956.5,139729.0,57.0,42031.30612103025
2014-02-16,8.6309,361748.8222222222,0.5214285714285716,158469.9111111111,183487.53333333333,139676.77777777778,57.214285714285715,41913.221358400886
2014-02-17,8.6405,360729.64444444445,0.5428571428571429,158316.32222222222,183018.56666666668,139624.55555555556,57.42857142857143,41748.700242398525
2014-02-18,8.6458,359710.4666666667,0.5642857142857143,158162.73333333334,182549.6,139572.33333333334,57.642857142857146,41605.22642978865
2014-02-19,8.6869,358691.2888888889,0.5857142857142859,158009.14444444445,182080.63333333333,139520.11111111112,57.857142857142854,41291.05767176886
2014-02-20,8.7852,357672.1111111111,0.6071428571428572,157855.55555555556,181611.66666666666,139467.88888888888,58.07142857142857,40713.0299948904
2014-02-21,8.838,356652.93333333335,0.6285714285714287,157701.96666666667,181142.7,139415.66666666666,58.285714285714285,40354.484423323534
